Mouse_ID,Gene,Gene_ID,Genotype,Sex,FED3,FED_StartDate,DOB,Weight1_Friday,Weight2_Monday,Weight3_Friday,Weight4_Monday,Weight5_Friday,Weight6_SI
CDKL5_005_178_78,CDKL5,005,Wt,F,33,2025-10-06,2025-07-19,18.69,18.83,19.58,18.98,19.61,20.47
CDKL5_005_179_14,CDKL5,005,Wt,F,34,2025-10-06,2025-08-07,16.92,16.63,17.79,17.06,18.67,17.98
CDKL5_005_179_20,CDKL5,005,Wt,F,35,2025-10-06,2025-08-07,15.93,15.61,16.67,16.26,17.38,17.24
CDKL5_005_180_66,CDKL5,005,Wt,F,27,2025-10-06,2025-07-16,19,19.27,19.73,19.06,19.56,20.73
CDKL5_005_182_64,CDKL5,005,Wt,F,28,2025-10-06,2025-07-16,19.32,19.26,20.61,19.16,20.21,20.2
CDKL5_005_182_65,CDKL5,005,Wt,F,45,2025-10-06,2025-07-16,19.24,19.05,20.04,19.66,20.74,20.97
CDKL5_005_183_74,CDKL5,005,Wt,F,50,2025-10-06,2025-07-17,19.29,18.43,20.53,18.98,21.04,19.8
CDKL5_005_183_75,CDKL5,005,Wt,F,26,2025-10-06,2025-07-17,20.41,19.37,20.59,20.38,21.01,20.78
CDKL5_005_184_3,CDKL5,005,Wt,F,37,2025-10-06,2025-07-24,17.83,17.23,19.18,18.4,19.27,18.88
CDKL5_005_179_17,CDKL5,005,Wt,M,38,2025-10-06,2025-08-07,23.03,22.24,22.4,22.23,22.7,22.32
CDKL5_005_180_67,CDKL5,005,Wt,M,53,2025-10-06,2025-07-16,25.27,24.61,25.7,24.89,24.67,25.13
CDKL5_005_180_69,CDKL5,005,Wt,M,19,2025-10-06,2025-07-16,24.76,23.8,25.98,23.86,24.06,24.2
CDKL5_005_182_57,CDKL5,005,Wt,M,20,2025-10-06,2025-07-16,25.52,24.94,25.74,24.85,25.21,25.2
CDKL5_005_186_53,CDKL5,005,Wt,M,52,2025-10-06,2025-07-16,25.14,24.64,25.32,24.47,24.92,24.7
CDKL5_005_275_28,CDKL5,005,Wt,M,40,2025-10-06,2025-08-06,23.52,22.96,23.92,23.18,23.86,23.44
CDKL5_005_275_29,CDKL5,005,Wt,M,46,2025-10-06,2025-08-06,22.71,21.77,22.82,21.97,22.45,22.95
CDKL5_005_281_35,CDKL5,005,Wt,M,25,2025-10-06,2025-08-06,22.58,22.24,23.03,22.39,23.56,22.49
CDKL5_005_281_36,CDKL5,005,Wt,M,39,2025-10-06,2025-08-06,22.69,22.13,22.67,22.31,22.78,22.98
CNTNAP2_008_243_81,CNTNAP2,008,Wt,F,47,2025-11-17,2025-08-12,20.61,19.49,20.79,20.6,20.94,20.36
CNTNAP2_008_243_82,CNTNAP2,008,Wt,F,49,2025-11-17,2025-08-12,21.13,20.46,22.17,21.21,21.79,21.97
CNTNAP2_008_246_28,CNTNAP2,008,Wt,F,41,2025-11-17,2025-08-25,19.47,18.37,20.36,19.5,19.78,20.2
CNTNAP2_008_248_45,CNTNAP2,008,Wt,F,46,2025-11-17,2025-08-11,19.66,19.44,20.11,19.04,19.83,19.92
CNTNAP2_008_248_46,CNTNAP2,008,Wt,F,50,2025-11-17,2025-08-11,20.94,20.42,21.34,21.67,22.41,22.6
CNTNAP2_008_248_48,CNTNAP2,008,Wt,F,48,2025-11-17,2025-08-11,20.94,20.17,20.83,19.82,20.07,20.23
CNTNAP2_008_352_55,CNTNAP2,008,Wt,F,43,2025-11-17,2025-09-04,18.01,17.46,18.72,18.1,18.88,19.2
CNTNAP2_008_352_58,CNTNAP2,008,Wt,F,44,2025-11-17,2025-09-04,18.49,17.76,18.02,17.4,18.11,18.14
CNTNAP2_008_242_53,CNTNAP2,008,Wt,M,58,2025-11-17,2025-08-11,25.18,23.74,25.67,24.24,24.37,25.38
CNTNAP2_008_244_32,CNTNAP2,008,Wt,M,52,2025-11-17,2025-09-02,25.54,25.2,25.63,24.72,25.04,24.59
CNTNAP2_008_244_35,CNTNAP2,008,Wt,M,54,2025-11-17,2025-09-02,25.89,24.84,25.31,24.66,24.31,24.63
CNTNAP2_008_245_99,CNTNAP2,008,Wt,M,51,2025-11-17,2025-08-13,26.01,25.03,26.14,25.58,25.31,25.91
CNTNAP2_008_246_29,CNTNAP2,008,Wt,M,53,2025-11-17,2025-08-25,23.59,22.78,23.53,22.65,23.86,23.52
CNTNAP2_008_247_49,CNTNAP2,008,Wt,M,56,2025-11-17,2025-08-11,29.17,27.87,29.33,28,27.75,29.12
CNTNAP2_008_247_51,CNTNAP2,008,Wt,M,59,2025-11-17,2025-08-11,27.93,26.73,28.79,27.6,27.86,28.43
CNTNAP2_008_342_40,CNTNAP2,008,Wt,M,55,2025-11-17,2025-09-02,22.88,22.94,24.13,22.63,23.93,23.06
DNMT3A_002_19_45,DNMT3A,002,Wt,M,019,2025-04-21,2025-02-06,23.89,23.01,23.22,23.34,24.28,22.82
DNMT3A_002_19_47,DNMT3A,002,Wt,F,010,2025-04-21,2025-02-06,18.81,17.44,17.31,18.21,19.64,17.72
DNMT3A_002_19_49,DNMT3A,002,Wt,F,012,2025-04-21,2025-02-06,20.38,19.49,19.32,19.84,19.98,20.1
DNMT3A_002_19_53,DNMT3A,002,Wt,F,009,2025-04-21,2025-02-06,18.05,16.87,17.07,17.22,18.35,18.15
DNMT3A_002_22_11,DNMT3A,002,Wt,F,007,2025-03-31,2025-01-08,,17.48,17.97,18.44,18.43,17.06
DNMT3A_002_22_12,DNMT3A,002,Wt,M,015,2025-03-31,2025-01-08,,24.16,25.55,25.11,25.66,25.55
DNMT3A_002_22_9,DNMT3A,002,Wt,F,008,2025-03-31,2025-01-08,,18.03,18.72,17.86,19.38,18.72
DNMT3A_002_23_5,DNMT3A,002,Wt,F,009,2025-03-31,2025-01-10,,17.72,17.06,17.57,17.85,17.8
DNMT3A_002_24_2,DNMT3A,002,Wt,F,006,2025-03-31,2025-01-06,,20.45,21.05,20.68,21.05,21.05
DNMT3A_002_25_24,DNMT3A,002,Wt,M,017,2025-03-31,2025-01-23,,21.54,22.32,22.31,23.02,22.32
DNMT3A_002_25_29,DNMT3A,002,Wt,M,019,2025-03-31,2025-01-23,,21.37,22.87,21.49,22.38,22.87
DNMT3A_002_26_55,DNMT3A,002,Wt,F,007,2025-04-21,2025-02-06,19.52,19.3,18.64,19.26,19.62,19.27
DNMT3A_002_26_56,DNMT3A,002,Wt,F,011,2025-04-21,2025-02-06,19.2,17.74,18.1,18.91,19.72,18.16
DNMT3A_002_26_59,DNMT3A,002,Wt,M,017,2025-04-21,2025-02-06,25.04,25.41,25.03,25.84,25.36,24.96
DNMT3A_002_27_40,DNMT3A,002,Wt,M,020,2025-04-21,2025-02-08,24.85,24.9,25.24,24.94,25.25,26.01
DNMT3A_002_28_31,DNMT3A,002,Wt,M,022,2025-04-21,2025-02-08,25.87,25.3,25,24.78,25.36,25.61
FMR1_007_207_61,FMR1,007,Wt,F,78,2025-11-03,2025-07-29,19.41,18.34,19.43,18.69,19.79,19.17
FMR1_007_211_81,FMR1,007,Wt,F,79,2025-11-03,2025-08-02,19.41,18.69,19.71,19.25,20.33,20.38
FMR1_007_211_83,FMR1,007,Wt,F,77,2025-11-03,2025-08-02,19.72,18.86,20.26,19.63,20.12,19.71
FMR1_007_213_40,FMR1,007,Wt,F,76,2025-11-03,2025-07-29,18.75,18.34,19.96,18.89,20.35,19.98
FMR1_007_307_40,FMR1,007,Wt,F,73,2025-11-03,2025-08-20,19.6,18.25,19.74,18.68,19.23,19.63
FMR1_007_210_79,FMR1,007,Wt,M,12,2025-11-03,2025-07-31,27.02,25.7,26.43,25.95,25.42,25.39
FMR1_007_213_39,FMR1,007,Wt,M,16,2025-11-03,2025-07-29,26.68,26.01,26.8,25.55,26.05,25.62
FMR1_007_214_94,FMR1,007,Wt,M,23,2025-11-03,2025-08-02,25.14,24.96,26.02,24.5,24.67,24.79
FMR1_007_214_98,FMR1,007,Wt,M,18,2025-11-03,2025-08-02,27.5,27,28.94,28.31,28.22,28.65
FMR1_007_218_77,FMR1,007,Wt,M,19,2025-11-03,2025-07-31,23.92,23.42,24.07,23.57,23.71,23.7
FMR1_007_221_47,FMR1,007,Wt,M,13,2025-11-03,2025-07-29,23.73,22.85,23.59,23.3,23.88,24.07
FMR1_007_221_51,FMR1,007,Wt,M,14,2025-11-03,2025-07-29,24.41,23.62,24.41,23.68,24.09,24.26
MYT1L_001_1_1,MYT1L,1,Wt,F,11,2025-03-03,2024-12-12,18.26,,19.53,18.34,20.07,18.51
MYT1L_001_1_4,MYT1L,1,Wt,F,14,2025-03-03,2024-12-12,18.46,,19.74,19.87,19.48,19.57
MYT1L_001_10_42,MYT1L,1,Wt,F,19,2025-03-03,2024-12-13,20.25,,21.56,20.15,20.63,20.15
MYT1L_001_12_48,MYT1L,1,Wt,F,20,2025-03-03,2024-12-12,19.24,,19.31,18.53,20.23,19.48
MYT1L_001_2_6,MYT1L,1,Wt,F,15,2025-03-03,2024-12-12,19.91,,21.59,20.03,20.39,20.65
MYT1L_001_5_23,MYT1L,1,Wt,F,12,2025-03-03,2024-12-13,18.35,,19.15,18.35,19.81,19.32
MYT1L_001_5_27,MYT1L,1,Wt,F,13,2025-03-03,2024-12-13,18.5,,19.69,18.6,20.07,18.89
MYT1L_001_7_32,MYT1L,1,Wt,F,17,2025-03-03,2024-12-13,19.95,,20.89,20.1,20.42,19.63
MYT1L_001_8_41,MYT1L,1,Wt,F,18,2025-03-03,2024-12-13,17.53,,19.03,18.21,20.08,18.6
MYT1L_001_9_11,MYT1L,1,Wt,F,16,2025-03-03,2024-12-12,18.48,,19.05,18.84,19.68,19.26
MYT1L_001_1_3,MYT1L,1,Wt,M,34,2025-03-03,2024-12-12,24.61,,24.56,24.21,24.52,24.17
MYT1L_001_10_44,MYT1L,1,Wt,M,39,2025-03-03,2024-12-13,27.54,,28.15,27.22,27.35,26.97
MYT1L_001_12_45,MYT1L,1,Wt,M,40,2025-03-03,2024-12-12,26.44,,26.37,25.59,25.5,25.2
MYT1L_001_2_9,MYT1L,1,Wt,M,35,2025-03-03,2024-12-12,23.28,,24.43,22.71,23.59,23.02
MYT1L_001_3_19,MYT1L,1,Wt,M,31,2025-03-03,2024-12-13,26.74,,26.88,25.92,26.05,26.71
MYT1L_001_5_22,MYT1L,1,Wt,M,32,2025-03-03,2024-12-13,26.66,,26.44,25.4,26,25.7
MYT1L_001_5_26,MYT1L,1,Wt,M,33,2025-03-03,2024-12-13,24.43,,24.94,23.09,23.87,23.22
MYT1L_001_7_30,MYT1L,1,Wt,M,36,2025-03-03,2024-12-13,26.96,,27.54,26.16,25.54,25.27
MYT1L_001_8_34,MYT1L,1,Wt,M,37,2025-03-03,2024-12-13,24.15,,24.07,22.89,23.06,23.43
MYT1L_001_8_36,MYT1L,1,Wt,M,38,2025-03-03,2024-12-13,26.43,,26.85,25.5,24.9,25.19
ChowHFD_177,,000,Wt,M,74,2025-07-21,,,,,,,
ChowHFD_182,,000,Wt,M,70,2025-07-21,,,,,,,
ChowHFD_183,,000,Wt,M,65,2025-07-21,,,,,,,
ChowHFD_184,,000,Wt,M,80,2025-07-21,,,,,,,
ChowHFD_185,,000,Wt,M,79,2025-07-21,,,,,,,
ChowHFD_186,,000,Wt,M,66,2025-07-21,,,,,,,
ChowHFD_187,,000,Wt,M,71,2025-07-21,,,,,,,
ChowHFD_189,,000,Wt,M,59,2025-07-21,,,,,,,
ChowHFD_190,,000,Wt,M,60,2025-07-21,,,,,,,
ChowHFD_670,,000,Wt,M,62,2025-07-21,,,,,,,
ChowHFD_671,,000,Wt,M,63,2025-07-21,,,,,,,
ChowHFD_672,,000,Wt,M,61,2025-07-21,,,,,,,
ChowHFD_674,,000,Wt,M,67,2025-07-21,,,,,,,
NF1_003_140_12,NF1,003,Wt,F,35,2025-08-04,2025-05-17,19.53,19.11,20.59,19.89,20.71,19.94
NF1_003_140_15,NF1,003,Wt,F,39,2025-08-04,2025-05-17,18.32,17.47,19.8,17.8,18.97,18.3
NF1_003_140_8,NF1,003,Wt,F,26,2025-08-04,2025-05-17,18.93,18.56,20.52,18.93,18.84,19
NF1_003_141_19,NF1,003,Wt,F,28,2025-08-04,2025-05-16,20.34,20.19,21.03,21.07,21.47,20.8
NF1_003_141_23,NF1,003,Wt,M,68,2025-08-04,2025-05-16,27.55,25.74,27.31,26.02,26.39,25.71
NF1_003_142_55,NF1,003,Wt,M,74,2025-08-04,2025-05-28,24.73,24.43,25.49,25.09,25.88,25.06
NF1_003_144_26,NF1,003,Wt,M,75,2025-08-04,2025-05-18,26.89,25.78,25.59,25.14,24.56,25.43
NF1_003_144_28,NF1,003,Wt,M,76,2025-08-04,2025-05-18,25.36,23.89,25.51,24.06,24.38,24.04
NF1_003_145_34,NF1,003,Wt,M,70,2025-08-04,2025-05-14,30.04,28.23,29.48,28.14,28.1,27.61
NF1_003_146_42,NF1,003,Wt,F,40,2025-08-04,2025-05-17,17.54,17.22,18.91,17.53,19.08,17.78
NF1_003_146_46,NF1,003,Wt,M,77,2025-08-04,2025-05-17,26.71,25.98,27.29,25.78,26.07,25.12
NF1_003_146_50,NF1,003,Wt,M,79,2025-08-04,2025-05-17,22.73,22.18,22.95,21.98,21.5,22.6
NF1_003_147_2,NF1,003,Wt,F,32,2025-08-04,2025-05-16,20.16,19.99,20.45,20.07,19.95,20.78
SHANK3B_004_115_85,SHANK3B,004,Wt,F,23,2025-08-18,2025-05-18,18.42,18.58,20.36,18.55,19.41,19.34
SHANK3B_004_120_96,SHANK3B,004,Wt,M,51,2025-08-18,2025-05-13,24.77,23.89,24.12,23.51,23.76,23.48
SHANK3B_004_122_12,SHANK3B,004,Wt,F,24,2025-08-18,2025-05-16,20.46,20.27,21.1,20.02,20.4,21.16
SHANK3B_004_122_15,SHANK3B,004,Wt,F,25,2025-08-18,2025-05-16,20.66,19.91,21.55,20.31,20.31,21.35
SHANK3B_004_126_28,SHANK3B,004,Wt,F,17,2025-08-18,2025-05-14,19.35,19.14,20.67,19.08,19.56,19.65
SHANK3B_004_126_31,SHANK3B,004,Wt,M,53,2025-08-18,2025-05-14,24.74,23.87,25.07,23.61,25.1,23.67
SHANK3B_004_68_23,SHANK3B,004,Wt,M,33,2025-08-18,2025-04-23,26.92,26.24,27,25.56,26.04,26
SHANK3B_004_69_32,SHANK3B,004,Wt,M,34,2025-08-18,2025-04-23,27.08,20.42,27.11,27.21,26.94,26.09
SHANK3B_004_69_33,SHANK3B,004,Wt,F,6,2025-08-18,2025-04-23,19.96,18.9,20.59,19.36,20.45,20.27
SHANK3B_004_70_4,SHANK3B,004,Wt,M,35,2025-08-18,2025-04-21,27.11,25.47,26.88,26.22,25.9,25.63
SHANK3B_004_71_38,SHANK3B,004,Wt,F,8,2025-08-18,2025-04-23,19.08,18.15,18.8,18.5,18.86,18.51
SHANK3B_004_72_63,SHANK3B,004,Wt,M,38,2025-08-18,2025-04-26,25.91,24.79,26.04,25.42,24.83,25.25
SHANK3B_004_73_12,SHANK3B,004,Wt,F,9,2025-08-18,2025-04-21,20.27,19.54,20.25,19.3,20.22,19.38
SHANK3B_004_73_16,SHANK3B,004,Wt,F,10,2025-08-18,2025-04-21,18.58,17.26,18.69,18.35,18.48,18.65
SHANK3B_004_75_47,SHANK3B,004,Wt,M,36,2025-08-18,2025-04-23,28.22,26.99,28.16,27.15,26.41,26.3
SHANK3B_004_77_56,SHANK3B,004,Wt,M,37,2025-08-18,2025-04-23,23.06,22.83,23.79,23.32,24.48,23.79
WAC_006_198_77,WAC,006,Wt,M,14,2025-10-20,2025-07-02,28.64,27.52,28.53,27.08,27.02,27
WAC_006_199_93,WAC,006,Wt,M,16,2025-10-20,2025-07-05,28.67,27.64,28.51,27.06,28.02,26.6
WAC_006_199_95,WAC,006,Wt,F,1,2025-10-20,2025-07-05,20.21,19.43,20.56,19.97,20.81,19.8
WAC_006_200_85,WAC,006,Wt,F,4,2025-10-20,2025-07-03,20.41,19.5,20.06,19.55,20.57,19.7
WAC_006_200_87,WAC,006,Wt,M,13,2025-10-20,2025-07-03,28.76,27.51,27.99,27.26,27.06,26.4
WAC_006_201_83,WAC,006,Wt,F,6,2025-10-20,2025-07-03,19.47,19.04,20.11,19.49,20.52,20.1
WAC_006_201_84,WAC,006,Wt,F,5,2025-10-20,2025-07-03,19.92,19.49,20.64,19.23,20.61,19.7
WAC_006_203_6,WAC,006,Wt,F,2,2025-10-20,2025-07-08,21.43,21.51,23.24,21.28,20.56,20.8
WAC_006_235_13,WAC,006,Wt,F,8,2025-10-20,2025-07-18,19.49,18.62,19.93,19.36,20.28,19.5
WAC_006_235_20,WAC,006,Wt,F,10,2025-10-20,2025-07-18,19.11,18.08,19.5,18.48,20.13,19
WAC_006_260_25,WAC,006,Wt,M,19,2025-10-20,2025-07-25,25.63,24.73,26.32,24.82,25.96,24.7
WAC_006_264_30,WAC,006,Wt,M,17,2025-10-20,2025-07-24,22.74,22.16,24.45,22.6,23.71,23.1